name;surname;sex;country;region;born;died;photo
Leonardo;Padura;M;Cuba;South America;1955;;https://img2.rtve.es/i/?w=1600&i=1517404734226.jpg
Ricardo;Piglia;M;Argentina;South America;1940;2017;https://upload.wikimedia.org/wikipedia/commons/8/8b/Ricardo_Piglia.jpg
Julio ;Cortázar;M;Argentina;South America;1914;1984;https://upload.wikimedia.org/wikipedia/commons/1/19/Cort%C3%A1zar.jpg
Amos;Oz;M;Israel;Middle East;1939;2018;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amos_oz675.jpg/1200px-Amos_oz675.jpg
Josefina;Carabias;F;Spain;Europe;1908;1980;https://upload.wikimedia.org/wikipedia/commons/e/ed/Josefina_Carabias.jpg
Javier;Cercas;M;Spain;Europe;1962;;https://upload.wikimedia.org/wikipedia/commons/8/83/Javier_Cercas_%282019%29II.jpg
Miguel ;de Cervantes;M;Spain;Europe;1547;1616;https://upload.wikimedia.org/wikipedia/commons/0/09/Cervantes_J%C3%A1uregui.jpg
Edgar Allan;Poe;M;United States;North America;1809;1849;https://upload.wikimedia.org/wikipedia/commons/9/94/Edgar_A._Poe_-_NARA_-_528345_%28cropped%29.jpg
Haruki;Murakami;M;Japan;Asia;1949;;https://upload.wikimedia.org/wikipedia/commons/e/eb/Murakami_Haruki_%282009%29.jpg
Georges;Perec;M;France;Europe;1938;1982;https://upload.wikimedia.org/wikipedia/commons/7/78/Georges_Perec.jpg
Miguel ;de Unamuno;M;Spain;Europe;1864;1936;https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Miguel_de_Unamuno_Meurisse_1925.jpg/1200px-Miguel_de_Unamuno_Meurisse_1925.jpg
Benito;Pérez Galdós;M;Spain;Europe;1843;1920;https://upload.wikimedia.org/wikipedia/commons/f/f2/Photo_of_Benito_P%C3%A9rez_Gald%C3%B3s.jpg
Antonio;Orejudo;M;Spain;Europe;1963;;https://es.babelio.com/users/AVT_Antonio-Orejudo_7637.jpg
Emilia;Pardo Bazán;F;Spain;Europe;1851;1921;https://upload.wikimedia.org/wikipedia/commons/3/31/1921-05-21%2C_La_Esfera%2C_Condesa_de_Pardo_Baz%C3%A1n%2C_Gamonal.jpg
Antonio;Muñoz Molina;M;Spain;Europe;1956;;https://upload.wikimedia.org/wikipedia/commons/e/e5/Munoz_Molina_Antonio_Koeln_160911.jpg
Cristina;Morales;F;Spain;Europe;1985;;https://upload.wikimedia.org/wikipedia/commons/b/be/Cristina_Garc%C3%ADa_Morales_-_2019_%2849120884908%29_%28cropped%29.jpg
Javier;Marías;M;Spain;Europe;1951;;https://upload.wikimedia.org/wikipedia/commons/8/89/Javier_Mar%C3%ADas_%28Feria_del_Libro_de_Madrid%2C_31_de_mayo_de_2008%29.jpg
Juan Ramón;Jiménez;M;Spain;Europe;1881;1958;https://www.biografiasyvidas.com/biografia/j/fotos/jimenez_juan_ramon_2.jpg
Gonzalo;Hidalgo Bayal;M;Spain;Europe;1950;;https://www.planetadelibros.com/usuaris/autores/fotos/49/tam_1/000048008_1_Gonzalo_Hidalgo_Bayal_201602051959.jpg
Alejandro;Zambra;M;Chile;South America;1975;;http://www.pliegosuelto.com/wp-content/uploads/2019/01/zambra_top.jpg
Mario;Vargas Llosa;M;Peru;South America;1936;;https://upload.wikimedia.org/wikipedia/commons/b/bf/Mario_Vargas_Llosa_%28crop_2%29.jpg
Juan;Rulfo;M;Mexico;South America;1918;1986;https://imagessl.casadellibro.com/img/autores/18951.jpg
Pedro;Mayral;M;Argentina;South America;1970;;https://pbs.twimg.com/profile_images/882000000951234560/8EWKpzTJ_400x400.jpg
Gabriel;García Márquez;M;Colombia;South America;1927;2014;https://upload.wikimedia.org/wikipedia/commons/0/0f/Gabriel_Garcia_Marquez.jpg
José;Donoso;M;Chile;South America;1924;1996;https://upload.wikimedia.org/wikipedia/commons/3/31/Jos%C3%A9_Donoso%2C_1981.jpg
Alejo;Carpentier;M;Cuba;South America;1904;1980;https://ichef.bbci.co.uk/news/640/cpsprodpb/D05E/production/_111924335_a1a3fa1c-4353-4c4c-bf35-93d503727a77.jpg
Jorge Luis;Borges;M;Argentina;South America;1899;1886;https://upload.wikimedia.org/wikipedia/commons/c/c6/Jorge_Luis_Borges.jpg
Roberto;Bolaño;M;Chile;South America;1953;2003;https://elcultural.com/wp-content/uploads/2018/11/12797_1-696x403.jpg
César;Aira;M;Argentina;South America;1949;;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cesar_Aira_Wikipedia.jpg/220px-Cesar_Aira_Wikipedia.jpg
Ramón ;del Valle-Inclán;M;Spain;Europe;1866;1936;https://www.biografiasyvidas.com/biografia/v/fotos/valle_inclan_2.jpg
Enrique;Páez;M;Spain;Europe;1955;;https://escueladeescritores.com/wp-content/uploads/2013/04/enriquepaez.jpg
Cathy;O'Neil;F;United States;North America;1972;;https://pbs.twimg.com/profile_images/1104749880717819905/4uj-gXMF_400x400.png
ean-Jacques;Rousseau;M;Switzerland;Europe;1712;1788;https://www.liceus.com/wp-content/uploads/2019/03/rousseau-Romanticismos.jpg
David;Miller;M;United Kingdom;Europe;1942;;https://www.politics.ox.ac.uk/materials/profile/9697/davidmiller200px.jpg
John Stuart;Mill;M;United Kingdom;Europe;1806;1873;https://www.biografiasyvidas.com/biografia/m/fotos/mill.jpg
Hermann;Hesse;M;Germnay;Europe;1877;1962;https://inspiraa.me/wp-content/uploads/2020/07/Biograf%C3%ADa-de-Hermann-Hesse-su-vida-trabajo-y-legado-732x488.jpg
João ;Camargo;M;Portugal;Europe;1983;;https://easst2018.easst.net/wp-content/uploads/2018/05/camargo.png
James;Thornton;M;United States;North America;1954;;https://upload.wikimedia.org/wikipedia/commons/6/64/James_Thornton%2C_2016_%28cropped%29.jpg
Ángel ;Campos Pánpano;M;Spain;Europe;1957;2008;http://culturabadajoz.com/wp-content/uploads/2019/02/angel-campos-02-culba.jpg
José;Zorrilla;M;Spain;Europe;1817;1893;https://upload.wikimedia.org/wikipedia/commons/3/3b/Jose_zorrilla.jpg
Alejandro;Casona;M;Spain;Europe;1903;1965;https://www.biografiasyvidas.com/biografia/c/fotos/casona.jpg
Federico;García Lorca;M;Spain;Europe;1898;1936;https://historia.nationalgeographic.com.es/medio/2020/08/18/federico-garcia-lorca1_98ab23b3_550x785.jpg
Antonio ;Machado;M;Spain;Europe;1875;1939;https://www.biografiasyvidas.com/biografia/m/fotos/machado_antonio.jpg
Pablo;Neruda;M;Spain;Europe;1904;1973;https://upload.wikimedia.org/wikipedia/commons/8/86/Pablo_Neruda_1963.jpg
Orlando;Figes;M;United Kingdom;Europe;1959;;https://elcultural.com/wp-content/uploads/2020/06/Orlando-Figes-%C2%A9-Phil-Fisk-2-696x403.jpg
Tony;Judt;M;United Kingdom;Europe;1948;2010;https://trabalibros.com/rs/1305/4886d523-1977-4fa1-ab24-df1b609c897c/91d/filename/tony-judt-trabalibros.jpg
Philipp;Blom;M;Germany;Europe;1970;;https://cdn.zendalibros.com/wp-content/uploads/2017/02/philipp-bloom.jpg
Manuel;Cañada;M;Spain;Europe;1962;;https://www.elviejotopo.com/wp-content/uploads/2018/01/ManuelCanada6.jpg
Günter;Grass;M;Germany;Europe;1927;2015;https://www.biografiasyvidas.com/biografia/g/fotos/grass_gunter_1.jpg
